month,id,src_id,dst_id,src_flag,dst_flag,src_count,dst_count,taxrate_src,taxrate_dst

2,0,3559003,1867165,2,16,1,1,0,0

2,1,1685584,3571190,2,27,1,4,0,1

2,2,4020865,3714439,16,19,1,3,0,1

2,3,229816,697620,7,11,3,3,1,1

month,id,src_id,dst_id,src_flag,dst_flag,src_count,dst_count,taxrate_src,taxrate_dst

3,0,4020865,3714439,6,6,2,2,0,0

3,1,4411947,4055105,0,15,0,4,0,1

3,2,2539079,2349601,3,0,2,0,1,0

3,3,162114,4635415,19,0,3,0,1,0

3,4,4055105,4411947,15,0,4,0,1,0

3,5,229816,697620,19,3,3,2,1,1

3,6,4677845,1210300,0,10,0,2,0,0

3,7,4635415,162114,0,19,0,3,0,1

month,id,src_id,dst_id,src_flag,dst_flag,src_count,dst_count,taxrate_src,taxrate_dst

4,0,229816,697620,3,21,2,3,1,1

4,1,3559003,1867165,0,8,0,1,0,0

4,2,4411947,4055105,0,2,0,1,0,0

4,3,28275,2641686,0,28,0,3,0,0

4,4,2539079,4148157,2,0,1,0,0,0

4,5,4020865,3714439,16,0,1,0,0,0

4,6,4055105,4411947,2,0,1,0,0,0

4,7,133599,4148157,3,0,2,0,1,0

4,8,2539079,2349601,2,24,1,2,0,0

month,id,src_id,dst_id,src_flag,dst_flag,src_count,dst_count,taxrate_src,taxrate_dst

5,0,2058387,1657375,6,24,2,2,0,0

5,1,229816,697620,1,1,1,1,1,1

5,2,2539079,4148157,26,2,3,1,0,0

5,3,2539079,2349601,26,11,3,3,0,1

5,4,4020865,3714439,4,0,1,0,0,0

5,5,4055105,4411947,26,0,3,0,0,0

month,id,src_id,dst_id,src_flag,dst_flag,src_count,dst_count,taxrate_src,taxrate_dst

6,0,2160877,4508213,19,19,3,3,1,1

6,1,4055105,4411947,8,0,1,0,0,0

6,2,2058387,4148859,4,7,1,3,0,1

6,3,4020865,3714439,18,8,2,1,0,0

6,4,1478799,413801,4,18,1,2,0,0

6,5,1478799,4148859,4,7,1,3,0,1

6,6,229816,697620,19,3,3,2,1,1

6,7,1448318,3591177,4,24,1,2,0,0

6,8,413801,1478799,18,4,2,1,0,0

6,9,2058387,2641686,4,16,1,1,0,0

6,10,802456,2349601,23,2,4,1,1,0

6,11,2539079,2349601,24,2,2,1,0,0

6,12,2058387,1657375,4,18,1,2,0,0

6,13,4148157,4108817,4,2,1,1,0,0

6,14,4096502,3591177,0,24,0,2,0,0

6,15,2539079,4148157,24,4,2,1,0,0

6,16,4677845,1210300,0,4,0,1,0,0

month,id,src_id,dst_id,src_flag,dst_flag,src_count,dst_count,taxrate_src,taxrate_dst

7,0,2388983,1532936,0,4,0,1,0,0

7,1,2058387,1657375,2,10,1,2,0,0

7,2,2058387,2641686,2,6,1,2,0,0

7,3,4020865,3714439,2,2,1,1,0,0

7,4,2539079,4148157,18,18,2,2,0,0

7,5,2401923,2610827,14,0,3,0,0,0

7,6,28275,2641686,0,6,0,2,0,0

7,7,2539079,2349601,18,18,2,2,0,0

7,8,365714,1330436,6,11,2,3,0,1

month,id,src_id,dst_id,src_flag,dst_flag,src_count,dst_count,taxrate_src,taxrate_dst

8,0,2388983,1532936,26,16,3,1,0,0

8,1,2539079,4148157,2,26,1,3,0,0

8,2,1657375,1478799,19,8,3,1,1,0

8,3,1478799,1657375,8,19,1,3,0,1

8,4,1873521,4136922,19,0,3,0,1,0

8,5,4020865,3714439,18,0,2,0,0,0

8,6,2401923,2610827,6,0,2,0,0,0

8,7,2378545,1210300,0,8,0,1,0,0

8,8,365219,4136922,6,0,2,0,0,0

8,9,28275,2641686,0,0,0,0,0,0

8,10,4635415,162114,0,19,0,3,0,1

8,11,1478799,413801,8,4,1,1,0,0

month,id,src_id,dst_id,src_flag,dst_flag,src_count,dst_count,taxrate_src,taxrate_dst

9,0,1478799,1657375,16,19,1,3,0,1

9,1,2388983,1532936,24,8,2,1,0,0

9,2,2539079,2349601,8,26,1,3,0,0

9,3,685273,1291668,0,2,0,1,0,0

9,4,2401923,2610827,18,0,2,0,0,0

9,5,4699831,697620,0,1,0,1,0,1

9,6,1657375,1478799,19,16,3,1,1,0

9,7,2539079,4148157,8,2,1,1,0,0

9,8,28275,2641686,0,16,0,1,0,0

9,9,1616197,3640265,0,26,0,3,0,0

9,10,802456,2349601,23,26,4,3,1,0

month,id,src_id,dst_id,src_flag,dst_flag,src_count,dst_count,taxrate_src,taxrate_dst

10,0,4699831,697620,0,19,0,3,0,1

10,1,2401923,2610827,2,0,1,0,0,0

10,2,852583,3861031,10,2,2,1,0,0

10,3,2388983,1532936,6,4,2,1,0,0

10,4,4148157,133599,8,7,1,3,0,1

10,5,1873521,1616197,26,18,3,2,0,0

10,6,4020865,3714439,26,4,3,1,0,0

10,7,2539079,4148157,16,8,1,1,0,0

10,8,28275,2641686,0,4,0,1,0,0

10,9,2539079,2349601,16,8,1,1,0,0

10,10,685273,1291668,0,11,0,3,0,1

month,id,src_id,dst_id,src_flag,dst_flag,src_count,dst_count,taxrate_src,taxrate_dst

11,0,4555411,3162130,16,0,1,0,0,0

11,1,4699831,1115174,0,1,0,1,0,1

11,2,330942,1637282,0,18,0,2,0,0

11,3,4148157,2539079,8,6,1,2,0,0

11,4,3026201,4510834,0,19,0,3,0,1

11,5,4699831,697620,0,7,0,3,0,1

11,6,4148157,133599,8,7,1,3,0,1

11,7,2539079,4148157,6,8,2,1,0,0

11,8,4020865,3714439,4,18,1,2,0,0

11,9,2401923,2610827,18,0,2,0,0,0

11,10,3247948,37085,0,30,0,4,0,0

11,11,911573,2641686,20,16,2,1,0,0

11,12,852583,3861031,2,0,1,0,0,0

11,13,28275,2641686,0,16,0,1,0,0

11,14,2539079,2349601,6,24,2,2,0,0

11,15,2378545,1210300,0,19,0,3,0,1

11,16,2058387,787631,8,18,1,2,0,0

11,17,685273,1291668,0,25,0,3,0,1

11,18,2388983,1532936,0,16,0,1,0,0

month,id,src_id,dst_id,src_flag,dst_flag,src_count,dst_count,taxrate_src,taxrate_dst

12,0,4699831,697620,0,19,0,3,0,1

12,1,4148157,2221297,4,19,1,3,0,1

12,2,4148157,4108817,4,6,1,2,0,0

12,3,2571519,1210300,0,6,0,2,0,0

12,4,1925748,1210300,11,6,3,2,1,0

12,5,4429586,3714439,6,2,2,1,0,0

12,6,852583,3861031,19,0,3,0,1,0

12,7,802456,4148157,7,4,3,1,1,0

12,8,2219217,4148157,0,4,0,1,0,0

12,9,685273,1291668,0,2,0,1,0,0

12,10,802456,2349601,7,8,3,1,1,0

12,11,2160877,3492519,11,24,3,2,1,0

12,12,4635415,162114,0,16,0,1,0,0

12,13,1685584,3571190,24,28,2,3,0,0

12,14,2539079,2349601,4,8,1,1,0,0

12,15,4108817,4148157,6,4,2,1,0,0

12,16,2401923,2610827,6,0,2,0,0,0

12,17,2388983,1532936,4,24,1,2,0,0

12,18,4020865,3714439,18,2,2,1,0,0

12,19,28275,2641686,0,4,0,1,0,0

12,20,2539079,4148157,4,4,1,1,0,0

12,21,4108817,4176874,6,0,2,0,0,0

12,22,1637282,3175934,2,16,1,1,0,0

12,23,2058387,1657375,10,6,2,2,0,0

12,24,2641686,4194547,4,27,1,4,0,1

12,25,1874658,2071042,0,6,0,2,0,0

12,26,2378545,1210300,0,6,0,2,0,0

